email,dépenses
tallain@dbmail.com,35.76
lgosselin@tele2.fr,105.87
vguillaume@ifrance.com,72.7
vlegrand@bouygtel.fr,23.36
troux@laposte.net,45.13
vlelievre@club-internet.fr,80.98
abonneau@wanadoo.fr,78.77
abouvet@club-internet.fr,122.59
wmaurice@tiscali.fr,11.94
fgarcia@club-internet.fr,117.94
ateixeira@dbmail.com,122.59
rantoine@hotmail.fr,102.1
friou@club-internet.fr,98.79
abouchet@laposte.net,120.27
briou@yahoo.fr,68.81
npelletier@live.com,143.89
ldumont@hotmail.fr,35.73
lschneider@live.com,33.11
cgodard@hotmail.fr,30.5
blaine@tiscali.fr,11.16
ageorges@yahoo.fr,125.67
mleconte@voila.fr,60.84
maubert@ifrance.com,29.81
rlegrand@hotmail.fr,126.03
nklein@free.fr,90.4
egautier@orange.fr,79.12
ischneider@noos.fr,78.24
ipicard@ifrance.com,129.03
rroyer@wanadoo.fr,67.3
djacquet@orange.fr,97.45
gallain@wanadoo.fr,139.09
cguibert@sfr.fr,8.47
lroger@dbmail.com,19.73
hguilbert@bouygtel.fr,107.44
bbouvier@dbmail.com,27.22
simbert@laposte.net,95.62
vtessier@laposte.net,46.44
hbriand@free.fr,9.78
ablin@tiscali.fr,84.34
cvoisin@tiscali.fr,46.78
oguillon@free.fr,20.23
flebreton@sfr.fr,105.36
aleconte@ifrance.com,87.95
gdupont@ifrance.com,134.18
rmonnier@orange.fr,86.11
gmoreno@noos.fr,101.11
bmarion@yahoo.fr,10.18
vbourdon@free.fr,46.39
fcollin@bouygtel.fr,71.29
fchretien@tele2.fr,18.28
ccouturier@club-internet.fr,27.42
ppoirier@yahoo.fr,24.91
troger@yahoo.fr,95.93
aalves@club-internet.fr,91.15
mlaporte@sfr.fr,64.98
cgimenez@yahoo.fr,11.91
mlebon@bouygtel.fr,59.14
bleblanc@voila.fr,121.29
jbernard@gmail.com,63.96
lbouvet@yahoo.fr,68.16
esalmon@voila.fr,3.85
jetienne@noos.fr,93.17
slagarde@voila.fr,122.31
tgrondin@voila.fr,77.11
mcollet@noos.fr,74.16
vbesson@voila.fr,121.97
gcollet@laposte.net,76.52
hauger@bouygtel.fr,98.87
ndiaz@tiscali.fr,52.24
hchartier@live.com,7.26
spasquier@live.com,60.17
lleduc@yahoo.fr,141.37
earnaud@voila.fr,146.78
alamy@live.com,148.17
tmercier@club-internet.fr,45.54
llebreton@orange.fr,51.39
njacquet@sfr.fr,115.74
blaurent@orange.fr,5.32
cbrun@sfr.fr,80.28
enormand@laposte.net,86.93
mthomas@dbmail.com,111.55
alefort@orange.fr,89.99
ogeorges@wanadoo.fr,34.18
rblanc@club-internet.fr,10.42
lclement@dbmail.com,141.42
mpichon@dbmail.com,99.37
agodard@tele2.fr,28.53
cguillou@tele2.fr,43.97
aherve@laposte.net,39.82
cmonnier@sfr.fr,136.49
vmaillot@tele2.fr,118.22
rleclercq@sfr.fr,61.43
vlamy@bouygtel.fr,83.13
lpoulain@orange.fr,83.21
rparent@orange.fr,97.66
jguillou@laposte.net,42.06
emarchand@gmail.com,31.27
ojean@tiscali.fr,44.13
mpetit@dbmail.com,5.66
xjacquot@club-internet.fr,103.59
eblin@hotmail.fr,97.74
mleveque@voila.fr,2.07
rpetitjean@live.com,97.79
gfoucher@laposte.net,131.17
mbouchet@dbmail.com,102.21
clelievre@dbmail.com,142.73
sjacquet@hotmail.fr,9.59
cclerc@gmail.com,15.32
gfabre@noos.fr,10.5
cmercier@tele2.fr,142.95
mcohen@laposte.net,93.35
proussel@tele2.fr,39.86
jbarthelemy@gmail.com,48.06
cdavid@free.fr,49.99
gpierre@wanadoo.fr,136.23
mgodard@live.com,96.88
mbenoit@bouygtel.fr,46.07
rchartier@hotmail.fr,36.12
aguillon@free.fr,74.61
adias@hotmail.fr,79.3
njacquet@voila.fr,107.93
bchartier@free.fr,43.11
clouis@laposte.net,121.05
mmarchal@free.fr,17.73
dbuisson@live.com,54.99
steixeira@laposte.net,42.75
mraymond@sfr.fr,42.42
srolland@laposte.net,131.65
mgiraud@gmail.com,59.45
cduhamel@gmail.com,26.55
llegros@wanadoo.fr,109.99
rclerc@tele2.fr,74.91
emasse@club-internet.fr,76.69
adidier@tele2.fr,65.65
hrobert@noos.fr,148.28
trocher@sfr.fr,108.14
bclement@tiscali.fr,8.58
tpasquier@yahoo.fr,55.71
vnavarro@sfr.fr,52.34
dduval@yahoo.fr,49.46
aperrier@bouygtel.fr,133.45
lcaron@live.com,141.47
lleconte@sfr.fr,35.78
sguyot@dbmail.com,95.87
mthierry@hotmail.fr,137.34
cgarnier@tele2.fr,104.69
hrobert@gmail.com,114.98
rchevallier@tele2.fr,58.18
mhuet@yahoo.fr,11.21
ldescamps@tele2.fr,70.02
tgodard@noos.fr,95.69
claporte@voila.fr,59.37
lvoisin@yahoo.fr,62.27
aguillou@tele2.fr,137.59
mpicard@tiscali.fr,46.84
jbigot@sfr.fr,70.55
aleveque@free.fr,9.14
vlaine@dbmail.com,57.45
tfernandes@wanadoo.fr,122.35
cdos santos@hotmail.fr,48.21
ggerard@free.fr,29.59
colivier@tiscali.fr,24.46
cpinto@laposte.net,64.2
rvaillant@tele2.fr,85.74
hclement@yahoo.fr,45.97
vroyer@voila.fr,21.62
jcohen@laposte.net,148.76
hlambert@tiscali.fr,132.45
gbarre@club-internet.fr,63.29
slagarde@hotmail.fr,151.71
pdupuy@club-internet.fr,80.64
abailly@ifrance.com,101.3
atraore@hotmail.fr,125.58
cmeyer@gmail.com,12.22
rcoste@noos.fr,78.77
mdavid@ifrance.com,4.91
rvaillant@live.com,51.85
praymond@dbmail.com,3.64
cblondel@gmail.com,24.17
bmaurice@wanadoo.fr,37.59
cdelannoy@orange.fr,101.19
rrey@wanadoo.fr,19.98
cmaurice@dbmail.com,88.31
edupont@bouygtel.fr,131.92
nhebert@laposte.net,15.33
lguillaume@yahoo.fr,89.49
mchauvin@orange.fr,137.07
gaubert@bouygtel.fr,63.06
jpages@hotmail.fr,131.25
ltexier@laposte.net,86.12
rsalmon@club-internet.fr,63.85
abousquet@club-internet.fr,62.33
pmonnier@sfr.fr,88.43
braymond@orange.fr,87.33
emaury@live.com,4.56
glouis@free.fr,133.44
ohoarau@laposte.net,78.33
vlejeune@orange.fr,130.75
sguillou@hotmail.fr,117.03
pmartineau@tiscali.fr,110.92
ppons@gmail.com,82.24
echauvet@wanadoo.fr,78.7
rchevalier@sfr.fr,46.8
mmercier@noos.fr,92.39
lperrier@laposte.net,90.72
bbesson@tiscali.fr,56.61
lvincent@live.com,54.78
nreynaud@hotmail.fr,129.89
bthierry@gmail.com,29.73
pcollin@tele2.fr,137.3
jdaniel@noos.fr,121.4
ecamus@gmail.com,78.74
oguibert@voila.fr,126.38
mboucher@gmail.com,43.14
fperez@sfr.fr,151.48
hgautier@laposte.net,58.82
dvidal@wanadoo.fr,88.34
sbarre@yahoo.fr,151.11
rtoussaint@live.com,103.47
rbodin@tiscali.fr,43.27
jferrand@hotmail.fr,86.06
bleblanc@tiscali.fr,42.04
clenoir@bouygtel.fr,57.7
tcarpentier@tiscali.fr,110.18
mmoreno@gmail.com,74.96
ade sousa@ifrance.com,146.47
nribeiro@tiscali.fr,10.71
ajacques@hotmail.fr,110.56
sbenoit@dbmail.com,117.24
lhoarau@voila.fr,86.3
fleconte@ifrance.com,28.09
blaine@noos.fr,117.35
csamson@club-internet.fr,98.96
rroyer@gmail.com,115.06
tpruvost@gmail.com,90.04
jperret@bouygtel.fr,145.97
gdubois@yahoo.fr,101.84
trenard@bouygtel.fr,79.32
vjacquet@live.com,141.46
lpascal@ifrance.com,107.42
ncharles@noos.fr,18.44
clamy@wanadoo.fr,120.09
dhardy@ifrance.com,115.26
cguillet@dbmail.com,111.63
jcoulon@sfr.fr,149.12
tdidier@tiscali.fr,70.13
zhebert@orange.fr,93.27
jguillou@sfr.fr,148.25
fcordier@hotmail.fr,150.4
hleveque@ifrance.com,8.54
jgilbert@club-internet.fr,125.34
jbousquet@live.com,6.57
lmorin@orange.fr,102.37
rmichel@tele2.fr,134.94
phamel@yahoo.fr,34.17
rblanc@hotmail.fr,135.39
wmarchand@wanadoo.fr,117.39
cmarie@club-internet.fr,103.21
ldumas@wanadoo.fr,123.72
golivier@dbmail.com,40.16
agros@tele2.fr,59.64
dlouis@wanadoo.fr,135.98
dfrancois@tele2.fr,79.08
jchartier@ifrance.com,5.14
hchauveau@free.fr,124.7
dcarlier@ifrance.com,80.62
wguyot@club-internet.fr,113.65
glucas@gmail.com,124.07
gpoulain@club-internet.fr,17.68
rvidal@wanadoo.fr,110.86
mmarchal@club-internet.fr,124.01
vfernandes@noos.fr,47.7
rboucher@club-internet.fr,124.64
llelievre@tele2.fr,37.44
alefevre@ifrance.com,86.67
znicolas@hotmail.fr,114.55
jrenaud@wanadoo.fr,67.34
hbrunet@tiscali.fr,32.41
mlelievre@club-internet.fr,125.54
mtorres@sfr.fr,126.12
eprevost@dbmail.com,7.13
olacombe@live.com,133.76
cbecker@free.fr,48.92
hchevallier@live.com,135.17
sperrier@club-internet.fr,69.35
nlelievre@orange.fr,134.76
fmaury@yahoo.fr,110.79
cmorin@live.com,65.28
eguillaume@yahoo.fr,124.06
mbertin@voila.fr,22.29
hsalmon@tiscali.fr,28.56
lremy@yahoo.fr,108.95
pmartineau@wanadoo.fr,13.69
vcharrier@hotmail.fr,22.62
nhoarau@free.fr,69.68
drodriguez@bouygtel.fr,6.97
dgomes@voila.fr,111.3
jgilles@noos.fr,58.72
cbertin@free.fr,10.26
llombard@free.fr,14.57
sdiaz@club-internet.fr,31.57
mlefort@noos.fr,102.47
evallet@bouygtel.fr,38.65
rnicolas@bouygtel.fr,36.28
hpaul@dbmail.com,83.63
mchartier@live.com,71.41
ljean@live.com,83.7
gleveque@yahoo.fr,128.98
emahe@tele2.fr,133.92
bdubois@orange.fr,31.45
sbarbe@hotmail.fr,55.42
ebarre@wanadoo.fr,104.9
alouis@laposte.net,58.54
nlefevre@sfr.fr,67.72
aleclercq@voila.fr,118.93
briviere@tele2.fr,73.43
cdelahaye@yahoo.fr,32.72
mboyer@noos.fr,85.81
lboutin@laposte.net,134.34
ebailly@orange.fr,138.4
mde oliveira@sfr.fr,137.6
mtoussaint@live.com,54.11
jdescamps@tiscali.fr,31.67
cbenard@dbmail.com,116.14
aalves@live.com,104.86
amonnier@free.fr,18.29
lmorel@noos.fr,8.43
mblondel@ifrance.com,97.0
mduhamel@laposte.net,27.91
pgermain@sfr.fr,24.03
vschneider@hotmail.fr,28.22
sguillaume@wanadoo.fr,96.57
zlaporte@bouygtel.fr,67.98
clesage@club-internet.fr,57.54
sdupont@sfr.fr,50.45
lroy@orange.fr,129.69
rpruvost@dbmail.com,48.9
jferreira@live.com,95.97
cbonnet@yahoo.fr,133.92
ahardy@sfr.fr,20.75
gollivier@bouygtel.fr,108.53
eleclerc@live.com,53.64
mdevaux@yahoo.fr,117.65
sbouvet@voila.fr,77.84
ide sousa@orange.fr,43.49
tdescamps@tiscali.fr,104.89
olecomte@wanadoo.fr,87.63
mfabre@ifrance.com,54.21
cjoly@dbmail.com,132.63
emaillet@club-internet.fr,117.09
mjoly@orange.fr,25.63
smeunier@voila.fr,14.91
xarnaud@club-internet.fr,47.84
pmartel@tiscali.fr,2.49
dalbert@club-internet.fr,120.48
vbernard@free.fr,141.56
premy@voila.fr,97.01
mduhamel@bouygtel.fr,112.98
eribeiro@noos.fr,58.41
lverdier@club-internet.fr,135.18
sthibault@sfr.fr,75.71
gpereira@wanadoo.fr,70.22
dlegros@tiscali.fr,59.51
vcousin@yahoo.fr,124.51
mperrier@ifrance.com,27.66
jnavarro@sfr.fr,88.63
erousset@tele2.fr,47.15
ablanchard@wanadoo.fr,35.45
mlouis@yahoo.fr,113.09
schevallier@wanadoo.fr,51.27
ltexier@gmail.com,117.43
ohuet@gmail.com,34.41
zblanc@ifrance.com,83.09
aroussel@yahoo.fr,90.33
epetit@yahoo.fr,98.53
rvaillant@ifrance.com,103.7
nbrunet@wanadoo.fr,73.05
lrobin@free.fr,19.59
agillet@bouygtel.fr,61.64
aboyer@ifrance.com,62.58
ncharrier@club-internet.fr,95.35
pmartin@dbmail.com,124.76
candre@gmail.com,24.61
clevy@ifrance.com,92.71
atanguy@ifrance.com,110.02
mbenoit@gmail.com,71.37
scharrier@noos.fr,21.64
fperret@gmail.com,28.65
ahumbert@yahoo.fr,93.26
gfournier@yahoo.fr,133.72
hpelletier@live.com,141.76
sneveu@dbmail.com,62.19
ele goff@tiscali.fr,115.43
pbernard@voila.fr,46.32
cbarre@club-internet.fr,118.58
cpereira@club-internet.fr,12.53
aadam@free.fr,11.9
jweber@voila.fr,120.14
mgros@wanadoo.fr,7.1
omasse@voila.fr,43.46
mpages@hotmail.fr,35.15
gmeyer@orange.fr,68.1
vandre@live.com,43.13
gbesson@voila.fr,120.44
vferrand@wanadoo.fr,64.17
mduhamel@orange.fr,34.01
hbesson@voila.fr,133.06
smathieu@tiscali.fr,133.55
ndiaz@laposte.net,29.25
mlebon@voila.fr,7.92
fcourtois@club-internet.fr,79.41
jrolland@voila.fr,91.26
ibonneau@tiscali.fr,56.23
scollin@tele2.fr,20.5
omerle@ifrance.com,3.35
tmartineau@bouygtel.fr,40.61
eguichard@orange.fr,29.28
cpayet@wanadoo.fr,21.9
ajacques@tiscali.fr,136.02
cdumas@orange.fr,19.1
mcordier@free.fr,18.98
mguillon@yahoo.fr,113.37
cchevalier@sfr.fr,140.54
rbonneau@ifrance.com,92.61
nmaillet@tele2.fr,82.57
gleclerc@voila.fr,130.71
phoareau@noos.fr,79.88
dguilbert@live.com,102.01
gnguyen@gmail.com,107.58
amoreno@free.fr,117.36
cbesnard@sfr.fr,14.78
jturpin@dbmail.com,46.52
emaurice@voila.fr,3.61
cperret@hotmail.fr,7.0
mpoirier@yahoo.fr,25.13
vtraore@free.fr,112.92
stessier@orange.fr,67.87
amace@noos.fr,143.02
mvalette@live.com,61.96
lgrondin@ifrance.com,67.87
ecourtois@live.com,115.01
mparent@wanadoo.fr,144.74
hleveque@live.com,24.67
mperrier@ifrance.com,116.15
sduval@gmail.com,133.8
eferreira@orange.fr,3.43
zmaillard@tele2.fr,45.01
aguichard@tiscali.fr,35.54
cguibert@sfr.fr,138.04
llambert@gmail.com,18.6
